"","form","lemma"
"692","galagiş","ga-lagjan"
"693","guş","guş"
"694","swa","swa"
"695","wasjiş","wasjan"
"696","<U+0195>aiwa","<U+0195>aiwa"
"697","mais","mais"
"698","izwis","şu"
"699","leitil","leitils"
"700","leitil","leitils"
"701","galaubjandans","ga-laubjan"
"702","galaubjandans","ga-laubjan"
"703","ni","ni"
"704","maurnaiş","maurnan"
"705","maurnaiş","maurnan"
"706","nu","nu"
"707","qişandans","qişan"
"708","<U+0195>a","<U+0195>as"
"709","matjam","matjan"
"710","matjam","matjan"
"711","aişşau","aişşau"
"712","<U+0195>a","<U+0195>as"
"713","drigkam","drigkan"
"714","drigkam","drigkan"
"715","aişşau","aişşau"
"716","<U+0195>e","<U+0195>e"
"717","wasjaima","wasjan"
"718","all","alls"
"719","auk","auk"
"720","şata","sa"
"721","şiudos","şiuda"
"722","sokjand","sokjan"
"723","şan","şan"
"724","atta","atta"
"725","izwar","izwar"
"726","sa","sa"
"727","ufar","ufar"
"728","himinam","himins"
"729","şatei","şatei"
"730","şaurbuş","şaurban"
"731","taujaina","taujan"
"732","izwis","şu"
"733","mans","manna"
"734","swa","swa"
"735","jah","jah"
"736","jus","şu"
"737","taujaiş","taujan"
"738","im","is"
"739","şata","sa"
"740","auk","auk"
"741","ist","wisan"
"742","witoş","witoş"
"743","jah","jah"
"744","praufeteis","praufetes"
"745","inngaggaiş","inn-gaggan"
"746","şairh","şairh"
"747","aggwu","aggwus"
"748","daur","daur"
"749","unte","unte"
"750","braid","braişs"
"751","daur","daur"
"752","jah","jah"
"753","rums","rums"
"754","wigs","wigs"
"755","sa","sa"
"756","brigganda","briggan"
"757","in","in"
"758","fralustai","fralusts"
"759","jah","jah"
"760","managai","manags"
"761","sind","wisan"
"762","şai","sa"
"763","inngaleişandans","inn-galeişan"
"764","şairh","şairh"
"765","şata","sa"
"766","<U+0195>an","<U+0195>an"
"767","aggwu","aggwus"
"768","şata","sa"
"769","daur","daur"
"770","jah","jah"
"771","şraihans","şreihan"
"772","wigs","wigs"
"773","sa","sa"
"774","brigganda","briggan"
"775","in","in"
"776","libainai","libains"
"777","jah","jah"
"778","fawai","faus"
"779","sind","wisan"
"780","şai","sa"
"781","bigitandans","bi-gitan"
"782","şana","sa"
"783","atsai<U+0195>iş","at-sai<U+0195>an"
"784","atsai<U+0195>iş","at-sai<U+0195>an"
"785","sweşauh","sweşauh"
"786","faura","faura"
"787","liugnapraufetum","liugnapraufetus"
"788","şaim","sa"
"789","izei","izei"
"790","qimand","qiman"
"791","at","at"
"792","izwis","şu"
"793","izwis","şu"
"794","in","in"
"795","wastjom","wasti"
"796","lambe","lamb"
"797","iş","iş"
"798","innaşro","innaşro"
"799","sind","wisan"
"800","wulfos","wulfs"
"801","wilwandans","wilwan"
"802","bi","bi"
"803","akranam","akran"
"804","ize","is"
"805","ize","is"
"806","ufkunnaiş","uf-kunnan"
"807","ufkunnaiş","uf-kunnan"
"808","ins","is"
"809","ibai","ibai"
"810","lisand","lisan"
"811","af","af"
"812","şaurnum","şaurnus"
"813","weinabasja","weinabasi"
"814","aişşau","aişşau"
"815","af","af"
"816","wigadeinom","wigadeinom"
"817","smakkans","smakka"
"818","swa","swa"
"819","all","alls"
"820","bagme","bagms"
"821","godaize","goşs"
"822","akrana","akran"
"823","goda","goşs"
"824","gataujiş","ga-taujan"
"825","iş","iş"
"826","sa","sa"
"827","ubila","ubils"
"828","bagms","bagms"
"829","akrana","akran"
"830","ubila","ubils"
"831","gataujiş","ga-taujan"
"832","ni","ni"
"833","mag","magan"
"834","bagms","bagms"
"835","şiuşeigs","şiuşeigs"
"836","akrana","akran"
"837","horinos","horinon"
"838","horinos","horinon"
"839","aşşan","aşşan"
"840","ik","ik"
"841","qişa","qişan"
"842","izwis","şu"
"843","şatei","şatei"
"844","<U+0195>azuh","<U+0195>azuh"
"845","saei","saei"
"846","sai<U+0195>iş","sai<U+0195>an"
"847","qinon","qino"
"848","du","du"
"849","luston","luston"
"850","izos","is"
"851","ju","ju"
"852","gahorinoda","ga-horinon"
"853","izai","is"
"854","in","in"
"855","hairtin","hairto"
"856","seinamma","seins"
"857","iş","iş"
"858","jabai","jabai"
"859","augo","augo"
"860","şein","şeins"
"861","şata","sa"
"862","taihswo","taihswa"
"863","marzjai","marzjan"
"864","şuk","şu"
"865","usstagg","us-stagg"
"866","ita","is"
"867","jah","jah"
"868","wairp","wairpan"
"869","af","af"
"870","şus","şu"
"871","batizo","batiza"
"872","ist","wisan"
"873","auk","auk"
"874","şus","şu"
"875","ei","ei"
"876","fraqistnai","fra-qistnan"
"877","ains","ains"
"878","lişiwe","lişus"
"879","şeinaize","şeins"
"880","jah","jah"
"881","ni","ni"
"882","allata","alls"
"883","leik","leik"
"884","şein","şeins"
"885","gadriusai","ga-driusan"
"886","in","in"
"887","gaiainnan","gaiainna"
"888","jah","jah"
"889","jabai","jabai"
"890","taihswo","taihswa"
"891","şeina","şeins"
"892","handus","handus"
"893","marzjai","marzjan"
"894","şuk","şu"
"895","afmait","af-maitan"
"896","şo","sa"
"897","jah","jah"
"898","wairp","wairpan"
"899","af","af"
"900","şus","şu"
"901","batizo","batiza"
"902","ist","wisan"
"903","auk","auk"
"904","şus","şu"
"905","ei","ei"
"906","fraqistnai","fra-qistnan"
"907","ains","ains"
"908","lişiwe","lişus"
"909","şeinaize","şeins"
"910","jah","jah"
"911","ni","ni"
"912","allata","alls"
"913","leik","leik"
"914","şein","şeins"
"915","gadriusai","ga-driusan"
"916","in","in"
"917","gaiainnan","gaiainna"
"918","şan","şan"
"919","ist","wisan"
"920","şatei","şatei"
"921","<U+0195>azuh","<U+0195>azuh"
"922","saei","saei"
"923","afletai","af-letan"
"924","qen","qens"
"925","gibai","giban"
"926","izai","is"
"927","afstassais","afstass"
"928","bokos","boka"
"929","iş","iş"
"930","ik","ik"
"931","qişa","qişan"
"932","izwis","şu"
"933","şatei","şatei"
"934","<U+0195>azuh","<U+0195>azuh"
"935","saei","saei"
"936","afletiş","af-letan"
"937","qen","qens"
"938","seina","seins"
"939","inuh","inuh"
"940","fairina","fairina"
"941","kalkinassaus","kalkinassus"
"942","taujiş","taujan"
"943","şo","sa"
"944","horinon","horinon"
"945","jah","jah"
"946","sa","sa"
"947","ize","izei"
"948","afsatida","af-satjan"
"949","liugaiş","liugan"
"950","horinoş","horinon"
"951","aftra","aftra"
"952","hausideduş","hausjan"
"953","şatei","şatei"
"954","qişan","qişan"
"955","ist","wisan"
"956","şaim","sa"
"957","airizam","airizans"
"958","ni","ni"
"959","ufarswarais","ufar-swaran"
"960","iş","iş"
"961","usgibais","us-giban"
"962","fraujin","frauja"
"963","aişans","aişs"
"964","şeinans","şeins"
"965","aşşan","aşşan"
"966","ik","ik"
"967","qişa","qişan"
"968","izwis","şu"
"969","ni","ni"
"970","swaran","swaran"
"971","allis","allis"
"972","ni","ni"
"973","bi","bi"
"974","himina","himins"
"975","unte","unte"
"976","stols","stols"
"977","ist","wisan"
"978","gudis","guş"
"979","nih","nih"
"980","bi","bi"
"981","airşai","airşa"
"982","unte","unte"
"983","fotubaurd","fotubaurd"
"984","ist","wisan"
"985","fotiwe","fotus"
"986","is","is"
"987","nih","nih"
"988","bi","bi"
"989","Iairusaulwmai","Iairusaulwma"
"990","unte","unte"
"991","baurgs","baurgs"
"992","ist","wisan"
"993","şis","sa"
"994","mikilins","mikils"
"995","şiudanis","şiudans"
"996","nih","nih"
"997","bi","bi"
"998","haubida","haubiş"
"999","şeinamma","şeins"
"1000","swarais","swaran"
"1001","unte","unte"
"1002","ni","ni"
"1003","magt","magan"
"1004","ain","ains"
"1005","tagl","tagl"
"1006","<U+0195>eit","<U+0195>eits"
"1007","aişşau","aişşau"
"1008","swart","swarts"
"1009","gataujan","ga-taujan"
"1010","waurd","waurd"
"1011","izwar","izwar"
"1012","ja","ja"
"1013","ja","ja"
"1014","ne","ne"
"1015","ne","ne"
"1016","iş","iş"
"1017","şata","sa"
"1018","managizo","manags"
"1019","şaim","sa"
"1020","şaim","sa"
"1021","şaim","sa"
"1022","us","us"
"1023","şamma","sa"
"1024","şamma","sa"
"1025","ubilin","ubils"
"1026","ubilin","ubils"
"1027","ist","wisan"
"1028","hausideduş","hausjan"
"1029","şatei","şatei"
"1030","qişan","qişan"
"1031","ist","wisan"
"1032","augo","augo"
"1033","und","und"
"1034","augin","augo"
"1035","jah","jah"
"1036","tunşu","tunşus"
"1037","und","und"
"1038","tunşau","tunşus"
"1039","iş","iş"
"1040","ik","ik"
"1041","qişa","qişan"
"1042","izwis","şu"
"1043","ni","ni"
"1044","andstandan","and-standan"
"1045","allis","allis"
"1046","şamma","sa"
"1047","şamma","sa"
"1048","unseljin","unsels"
"1049","unseljin","unsels"
"1050","ak","ak"
"1051","jabai","jabai"
"1052","<U+0195>as","<U+0195>as"
"1053","şuk","şu"
"1054","stautai","stautan"
"1055","bi","bi"
"1056","taihswon","taihswa"
"1057","şeina","şeins"
"1058","wandei","wandjan"
"1059","imma","is"
"1060","jah","jah"
"1061","şo","sa"
"1062","anşara","anşar"
"1063","jah","jah"
"1064","şamma","sa"
"1065","wiljandin","wiljan"
"1066","miş","miş"
"1067","şus","şu"
"1068","staua","staua"
"1069","jah","jah"
"1070","paida","paida"
"1071","niman","niman"
"1072","aflet","af-letan"
"1073","imma","is"
"1074","jah","jah"
"1075","wastja","wasti"
"1076","jah","jah"
"1077","jabai","jabai"
"1078","<U+0195>as","<U+0195>as"
"1079","şuk","şu"
"1080","ananauşjai","ana-nauşjan"
"1081","rasta","rasta"
"1082","aina","ains"
"1083","gaggais","gaggan"
"1084","miş","miş"
"1085","imma","is"
"1086","twos","twai"
"1087","şamma","sa"
"1088","bidjandin","bidjan"
"1089","şuk","şu"
"1090","gibais","giban"
"1091","jah","jah"
"1092","şamma","sa"
"1093","wiljandin","wiljan"
"1094","af","af"
"1095","şus","şu"
"1096","lei<U+0195>an","lei<U+0195>an"
"1097","sis","sik"
"1098","ni","ni"
"1099","uswandjais","us-wandjan"
"1100","hausideduş","hausjan"
"1101","şatei","şatei"
"1102","qişan","qişan"
"1103","ist","wisan"
"1104","frijos","frijon"
"1105","ne<U+0195>undjan","ne<U+0195>undja"
"1106","şeinana","şeins"
"1107","jah","jah"
"1108","fiais","fijan"
"1109","fiand","fijands"
"1110","şeinana","şeins"
"1111","aşşan","aşşan"
"1112","ik","ik"
"1113","qişa","qişan"
"1114","izwis","şu"
"1115","frijoş","frijon"
"1116","fijands","fijands"
"1117","izwarans","izwar"
"1118","şiuşjaiş","şiuşjan"
"1119","şans","sa"
"1120","wrikandans","wrikan"
"1121","izwis","şu"
"1122","izwis","şu"
"1123","waila","waila"
"1124","taujaiş","taujan"
"1125","şaim","sa"
"1126","hatjandam","hatjan"
"1127","izwis","şu"
"1128","izwis","şu"
"1129","jah","jah"
"1130","bidjaiş","bidjan"
"1131","bi","bi"
"1132","şans","sa"
"1133","usşriutandans","us-şriutan"
"1134","izwis","şu"
"1135","izwis","şu"
"1136","ei","ei"
